dia,canal,pilar,template,id,titular
Lunes,tiktok,educar,dato,o001,Lo que nadie te cuenta de sentadilla correcta
Lunes,ig-feed,entretener,lista,o002,POV: por fin entiendes sentadilla correcta
Lunes,youtube,inspirar,historia,o003,De cero a dominar sentadilla correcta
Lunes,tiktok,comunidad,pregunta,o004,¿Tu mayor duda con sentadilla correcta?
Martes,ig-feed,educar,tutorial,o005,3 errores comunes con proteína
Martes,youtube,entretener,pov,o006,5 cosas de proteína que no sabías
Martes,tiktok,inspirar,historia,o007,La historia detrás de proteína
Miércoles,ig-feed,comunidad,pregunta,o008,"¿Equipo proteína, sí o no?"
Miércoles,youtube,educar,mito,o009,La guía rápida de descanso
Miércoles,tiktok,entretener,lista,o010,Cuando descubres descanso
Miércoles,ig-feed,inspirar,historia,o011,Por qué descanso lo cambia todo
Jueves,youtube,educar,dato,o012,¿Lo estás haciendo bien con movilidad?
Jueves,tiktok,entretener,pov,o013,POV: por fin entiendes movilidad
Jueves,ig-feed,inspirar,historia,o014,De cero a dominar movilidad
Viernes,youtube,educar,tutorial,o015,Lo que nadie te cuenta de sentadilla correcta
Viernes,tiktok,entretener,lista,o016,5 cosas de sentadilla correcta que no sabías
Viernes,ig-feed,inspirar,historia,o017,La historia detrás de sentadilla correcta
Viernes,youtube,educar,mito,o018,3 errores comunes con proteína
Sábado,tiktok,entretener,pov,o019,Cuando descubres proteína
Sábado,ig-feed,educar,dato,o020,La guía rápida de descanso
Sábado,youtube,entretener,lista,o021,POV: por fin entiendes descanso
Domingo,tiktok,educar,tutorial,o022,¿Lo estás haciendo bien con movilidad?
Domingo,ig-feed,educar,mito,o023,Lo que nadie te cuenta de sentadilla correcta
Domingo,youtube,educar,dato,o024,3 errores comunes con proteína
